date,cumul_full
2021-07-01,2429925
2021-07-02,2500693
2021-07-03,2580136
2021-07-04,2661027
2021-07-05,2782600
2021-07-06,2921985
2021-07-07,3098688
2021-07-08,3259422
2021-07-09,3389163
2021-07-10,3506033
2021-07-11,3609530
2021-07-12,3772687
2021-07-13,3944227
2021-07-14,4108435
2021-07-15,4269859
2021-07-16,4404187
2021-07-17,4537132
2021-07-18,4641384
2021-07-19,4796070
2021-07-20,4899623
2021-07-21,5070332
2021-07-22,5247316
2021-07-23,5412028
2021-07-24,5549747
2021-07-25,5674926
2021-07-26,5870734
2021-07-27,6076790
2021-07-28,6284196
2021-07-29,6502983
2021-07-30,6706230
2021-07-31,6913982
2021-08-01,7099714
2021-08-02,7352137
2021-08-03,7603169
2021-08-04,7876863
2021-08-05,8180050
2021-08-06,8446205
2021-08-07,8693683
2021-08-08,8933520
2021-08-09,9218576
2021-08-10,9420600
2021-08-11,9695648
2021-08-12,10029979
2021-08-13,10341599
2021-08-14,10631612
2021-08-15,10913671
2021-08-16,11249387
2021-08-17,11600040
2021-08-18,11965339
2021-08-19,12317858
2021-08-20,12659869
2021-08-21,12986184
2021-08-22,13301146
2021-08-23,13557733
2021-08-24,13834676
2021-08-25,14110400
2021-08-26,14377956
2021-08-27,14596434
2021-08-28,14807243
2021-08-29,14985535
2021-08-30,15181767
2021-08-31,15340315
2021-09-01,15569929
2021-09-02,15777914
2021-09-03,15980524
2021-09-04,16169039
2021-09-05,16340276
2021-09-06,16540713
2021-09-07,16748487
2021-09-08,16961944
2021-09-09,17170218
2021-09-10,17368421
2021-09-11,17558727
2021-09-12,17725368
2021-09-13,17898999
2021-09-14,18089043
2021-09-15,18288765
2021-09-16,18443469
2021-09-17,18626073
2021-09-18,18802527
2021-09-19,18975125
2021-09-20,19186694
2021-09-21,19335280
2021-09-22,19550213
2021-09-23,19759414
2021-09-24,19928462
2021-09-25,20086998
2021-09-26,20249734
2021-09-27,20411983
2021-09-28,20582762
2021-09-29,20741347
2021-09-30,20913918
2021-10-01,21057527
2021-10-02,21188926
2021-10-03,21307990
2021-10-04,21414822
2021-10-05,21523851
2021-10-06,21628045
2021-10-07,21723355
2021-10-08,21831688
2021-10-09,21942612
2021-10-10,22047038
2021-10-11,22189557
2021-10-12,22349774
2021-10-13,22512460
2021-10-14,22683893
2021-10-15,22822406
2021-10-16,22940700
2021-10-17,23063721
2021-10-18,23238748
2021-10-19,23362312
2021-10-20,23583251
2021-10-21,23777933
2021-10-22,23898124
2021-10-23,23999020
2021-10-24,24111285
2021-10-25,24258219
2021-10-26,24400234
2021-10-27,24528904
2021-10-28,24649893
2021-10-29,24734490
2021-10-30,24786487
2021-10-31,24830597
2021-11-01,24889072
2021-11-02,24948289
2021-11-03,24993516
2021-11-04,25013227
2021-11-05,25045273
2021-11-06,25059351
2021-11-07,25074225
2021-11-08,25120218
2021-11-09,25152172
2021-11-10,25192315
2021-11-11,25237773
2021-11-12,25272912
2021-11-13,25289619
2021-11-14,25301224
2021-11-15,25329020
2021-11-16,25355962
2021-11-17,25377544
2021-11-18,25399394
2021-11-19,25417421
2021-11-20,25424196
2021-11-21,25429514
2021-11-22,25442063
2021-11-23,25453261
2021-11-24,25462407
2021-11-25,25468878
2021-11-26,25475987
2021-11-27,25481637
2021-11-28,25485475
2021-11-29,25492754
2021-11-30,25501979
2021-12-01,25510653
2021-12-02,25520151
2021-12-03,25527458
2021-12-04,25532321
2021-12-05,25535753
2021-12-06,25542793
2021-12-07,25550118
2021-12-08,25557092
2021-12-09,25565512
2021-12-10,25573030
2021-12-11,25575939
2021-12-12,25578499
2021-12-13,25584085
2021-12-14,25589754
2021-12-15,25595610
2021-12-16,25602300
2021-12-17,25607489
2021-12-18,25609887
2021-12-19,25612165
2021-12-20,25616938
2021-12-21,25621738
2021-12-22,25626779
2021-12-23,25632436
2021-12-24,25636634
2021-12-25,25638075
2021-12-26,25639641
2021-12-27,25645120
2021-12-28,25650233
2021-12-29,25655537
2021-12-30,25660671
2021-12-31,25665445
2022-01-01,25666356
