date,cases_new,deaths_new,cases_new_lag7,cases_new_lag14,cases_new_7d_avg
2021-12-15,3900,33.0,5020.0,5439.0,4303.0
2021-08-28,22597,252.0,22262.0,20670.0,21460.571428571428
2021-11-25,6144,48.0,6380.0,6323.0,5635.142857142857
2021-08-27,22070,339.0,23564.0,21468.0,21412.714285714286
2021-12-20,2589,43.0,3504.0,4262.0,3771.5714285714284
2022-01-08,3251,11.0,3386.0,3160.0,3122.714285714286
2022-01-11,3175,27.0,2842.0,2897.0,3164.1428571428573
2021-09-18,15549,324.0,19550.0,19057.0,17482.285714285714
2021-11-11,6323,49.0,5713.0,6377.0,5211.142857142857
2021-09-27,10959,258.0,14345.0,16073.0,13859.857142857143
2021-08-13,21468,277.0,20889.0,16840.0,19869.714285714286
2022-01-03,2690,28.0,2757.0,2589.0,3301.1428571428573
2021-12-11,4626,31.0,4896.0,5097.0,4810.714285714285
2021-09-12,19198,292.0,20396.0,20579.0,19266.14285714286
2021-10-05,8817,117.0,11332.0,15759.0,10561.57142857143
2021-10-22,6630,78.0,7420.0,9751.0,6169.857142857143
2021-08-22,19807,232.0,20546.0,18688.0,21456.285714285714
2021-11-15,5143,53.0,4543.0,4626.0,5800.0
2021-10-12,7276,103.0,8817.0,11332.0,8446.0
2021-11-14,5162,45.0,4343.0,4979.0,5714.285714285715
2021-08-17,19631,293.0,19991.0,17105.0,20643.285714285714
2021-08-14,20670,260.0,19257.0,17786.0,20071.571428571428
2021-08-29,20579,285.0,19807.0,20546.0,21570.85714285714
2021-08-16,19740,274.0,17236.0,15764.0,20694.714285714286
2021-08-10,19991,201.0,17105.0,16117.0,19496.571428571428
2021-08-07,19257,210.0,17786.0,15902.0,18654.285714285714
2021-10-19,5745,69.0,7276.0,8817.0,6898.142857142857
2021-11-04,5713,64.0,6377.0,6210.0,5370.571428571428
2021-10-13,7950,68.0,9380.0,12434.0,8241.714285714286
